ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
-0.15322891,0.0,9.80665,-0.0021284502,-0.006385351,-0.0042569004,0.0,2017-06-10 15:03:31,55.29392618795744
-0.15322891,0.0,9.80665,0.0010642251,0.0010642251,-0.0021284502,0.0,2017-06-10 15:03:32,52.497575998797984
-0.15322891,0.0,9.653421,-0.0031926755,-0.0021284502,-0.0021284502,0.0,2017-06-10 15:03:33,47.29385155780153
-0.15322891,0.0,9.653421,-0.008513801,-0.007449576,-0.0031926755,0.0,2017-06-10 15:03:34,13.688290269918513
-0.15322891,0.0,9.80665,-0.0021284502,-0.007449576,-0.0031926755,0.0,2017-06-10 15:03:36,45.44789407800273
-0.15322891,0.0,9.653421,-0.0,-0.005321126,-0.0031926755,0.0,2017-06-10 15:03:37,48.42505931588165
-0.15322891,0.0,9.80665,0.0021284502,-0.005321126,-0.0042569004,0.0,2017-06-10 15:03:38,37.91557469517096
-0.15322891,0.0,9.80665,-0.0042569004,-0.0021284502,-0.006385351,0.0,2017-06-10 15:03:39,33.86932374866283
-0.15322891,0.0,9.80665,-0.0031926755,-0.008513801,-0.0031926755,0.0,2017-06-10 15:03:40,46.472488422356825
-0.15322891,0.0,9.80665,-0.0010642251,-0.0042569004,-0.0042569004,0.0,2017-06-10 15:03:41,45.31921581261482
-0.15322891,0.0,9.80665,-0.0010642251,-0.005321126,-0.0021284502,0.0,2017-06-10 15:03:42,35.3750322506542
-0.15322891,0.0,9.80665,-0.0021284502,-0.007449576,0.0010642251,0.0,2017-06-10 15:03:43,44.80210919980769
-0.15322891,0.0,9.653421,0.0010642251,-0.0021284502,-0.0010642251,0.0,2017-06-10 15:03:44,49.53292527698834
-0.15322891,0.0,9.80665,-0.0021284502,-0.0031926755,-0.0042569004,0.0,2017-06-10 15:03:45,31.677030798260866
-0.15322891,0.0,9.80665,0.0010642251,-0.0031926755,-0.005321126,0.0,2017-06-10 15:03:46,17.108222743428648
-0.15322891,0.0,9.653421,-0.0042569004,-0.0021284502,-0.0021284502,0.0,2017-06-10 15:03:47,45.91853253231833
-0.15322891,0.0,9.80665,-0.0021284502,0.0010642251,-0.0021284502,0.0,2017-06-10 15:03:48,44.45438230339555
-0.15322891,0.0,9.80665,-0.0,-0.0010642251,-0.008513801,0.0,2017-06-10 15:03:49,35.64914992345892
-0.15322891,0.0,9.80665,-0.005321126,-0.009578027,-0.006385351,0.0,2017-06-10 15:03:50,18.067450937538062
